id,index,content,proofed
205412,1,尊敬的网友们大家好你们健身了吗,尊敬的网友们大家好！你们健身了吗
205413,2,我刚刚健完身啊,我刚刚健完身…啊
205414,3,特别舒服,特别舒服
205415,4,我现在在这里给大家分享这个,我现在在这儿跟大家分享
205416,5,花园的美景,花园的美景
205417,6,太漂亮了啊,太漂亮了
205418,7,这个这几天特别热闹,这几天特别热闹，文
205419,8,文贵正在忙着有几个大事啊,文贵正在忙着有几个大事
205420,9,这个商务的事情我们也在开会,着有几个大事。商务的事情我们也在
205421,10,这个还有呢,着有几个大
205422,11,这个,正
205423,12,有几个大的行动,有几个大的行动
205424,13,我正在,我正在
205425,14,采取具体的各种行动,采取具体的各种行动
205426,15,铲除海外的,铲除海外的
205427,16,这些伪类吗,这些伪类
205428,17,还,海
205429,18,我们海外的,我们海外的
205430,19,这个爱好法制民主自由的,外的爱好法制民主自由的
205431,20,朋友们一个干净的环境,朋友们一个干净的环境
205432,21,广说没有用的我们要行动,光说没有用的，我们要行动
205433,22,行动高于一切行动高于一切,行动高于一切！另外呢，希望所有
205434,23,另外呢,另外呢
205435,24,希望所有的,希望所有的
205436,25,网友们,网友们
205437,26,看到了这个我这个视频呢,看到了我这个视频呢
205438,27,有知道啊就是现在Twitter郭宝胜推出的,有知道，就是现在推特上郭宝胜推出的
205439,28,那些信息的,那些信息的
205440,29,因为信息的,一定兑现
205441,30,请及时和我们联系,请及时和我们联系
205442,31,我们一定要对象我们的承诺按照美国的法律,我们一定兑现我们的承诺。按照美国的法律
205443,32,黑衣服,协议
205444,33,一规则,依规地
205445,34,跟律师签订协议马上提现,跟律师签订协议，马上兑现
205446,35,我们这几天有了突破的进展啊,我们这几天有了突破的进展
205447,36,这个,这个
205448,37,这个李洪宽,这个李洪宽
205449,38,几十几十次的犯罪啊,几十次地犯罪，而且欺
205450,39,几十次的犯罪,几十次地犯罪
205451,40,而且这个欺骗女性,而且欺骗女性
205452,41,欺骗同包敲诈通包,欺骗同胞，敲诈同胞
205453,42,啊这个这个刘刚强奸女性强奸女性,同胞。刘刚强奸女性，已经是
205454,43,这个已经是没有任何问题的,性，已经是没有任何问题的
205455,44,其他的那些人现在正在做正中啊,"其他的那些人正在做着中。



几个"
205456,45,这个几个大家会看明白它的本质,"中。



几个，大家会看明白他们的本质"
205457,46,让美国法官说了算文贵说了也不,让美国法官说了算，文贵说了也不
205458,47,让美国法官说法,让美国法官说
205459,48,让法律,让法律
205460,49,给他结果,给他结果
205461,50,把这是最重要的让法律让法律啊,果。这是最重要的。让法律，让法律，啊
205462,51,所以说呢,所以说呢
205463,52,一切都是刚刚开始,一切都是刚刚开始
205464,53,我们现在呀,我们现在把
205465,54,把海外这种,把海外这种
205466,55,这个骗钱骗色,骗钱骗色
205467,56,垄断这个论断迷迷晕党家宁愿,垄断民运，绑架民运，让所有
205468,57,让所有的,让所有的
205469,58,有识之士,有志之士
205470,59,这个法治民主自由爱好者,士，法制民主自由爱好者
205471,60,都成了劣势,都成了烈士
205472,61,这种环境不净化是不,这种环境不净化是不
205473,62,这个是真是假是好是坏,这个是真是假，是好是坏
205474,63,让美国的法律说了算啊,让美国的法律说了算
205475,64,邓打不了机,，蹦跶不了
205476,65,欺负这些国内老百姓来英文不好,欺负这些国内老百姓英文不好
205477,66,人生地不熟,人生地不熟
205478,67,专吃生啊专杀青,专吃生，专杀青
205479,68,威胁很难受美国法院,威胁，拿着美国法院
205480,69,一个李洪宽就几十次刑事案件告人,"一个李洪宽就几十次啊，告人，啊。



光生"
205481,70,这个,生了
205482,71,观卦生孩子不结婚了不是吗,光生孩子不结婚，生了孩
205483,72,生了孩子还不服呀,生了孩子还不抚养
205484,73,还威胁别人,还威胁别人
205485,74,还偷东西,还偷东西
205486,75,然后呢这个刘刚,然后呢这个刘刚
205487,76,跟一个女孩见面,跟一个女孩见面
205488,77,没有不到几个小时的车上的那个强奸了,不到几个小时就在车上把人给强奸了
205489,78,这小子简直是干了不是一次这个事了,这小子简直是，干了不止一次这事儿了
205490,79,咱们大家,咱们大家
205491,80,那是否代表一字一个字的东西,咱们大家拭目以待吧。这一个个的东西
205492,81,都应该让他们,都应该让他们
205493,82,得到应有的法律的处罚,得到应有的法律的处罚
205494,83,管你大嫂们没用耍流氓的用,光你大嗓门没用。耍流氓
205495,84,是你干过坏事,事多有实力，你
205496,85,那谁也帮不了你,那谁也帮不了你
205497,86,你不是你独有本事,你。不论你多有本事
205498,87,你的独有实力,你多有本事
205499,88,你多么能忽悠,你多么能忽悠
205500,89,你多么能骗,你多么能忽
205501,90,唐柏桥,唐柏桥
205502,91,竟然是几十年来所有的捐款全都被那个人化了,竟然是几十年来所有捐的款全都被他个人花
205503,92,这这一查完事账号各方面信息,这一查完，这账号各方面的信息
205504,93,唐柏桥的片圈,唐柏桥的骗捐
205505,94,骗色欺骗,骗色，欺骗
205506,95,这个种假信息,各种假信息
205507,96,除了他这个人吗可能是真的几乎没什么真的了,除了他这个人吧可能是真的（笑），几乎没什么真的了
205508,97,这真是个悲剧,这真是个悲剧
205509,98,真是个杯具,真是个悲剧
205510,99,所以说呢,所以说呢
205511,100,这个文贵现在成了打假了啊咱们这个绿草打兔子,文贵现在成了打假了。咱们这个搂草打兔子
205512,101,先把环境净化精华,先把环境净化净化
205513,102,过一段时间咱们有更好的环境三不生做更大的事情,过一段时间，咱们有更好的环境，咱们才能做更大的事情
205514,103,谢谢所有网友们的关心,谢谢所有网友们的关心
205515,104,现在是守端绿波啊,现在是首段录播
205516,105,这个Snow,这个Snow
205517,106,给大家问好,给大家问好
205518,107,谢谢所有的网友妹一切都是刚刚开始,谢谢所有的网友们。一切都是刚刚开始
205519,108,别忘了健身,别忘了健身
205520,109,Snow snow snow给大家拜拜拜拜,Snow，Snow，Snow，给大家拜拜。（拿
205521,110,哦,o
205522,111,再见,给大家
205523,112,我的手不酸了就不能这样了就不要再见了抱歉抱歉,我这手端着就不能这样给大家再见了
